xf# UIP - User Installed Packages
# Date:      Tu, 21 May 2024 08:36:49 -0400
# Host:      orangepi5
# System:    MX-23.2_rpi_arm64 Libretto Dec 30, 2023
#
# List of user installed packages
# Package name                               Description

gstreamer1.0-qt5-dbgsym                      debug symbols for gstreamer1.0-qt5
gstreamer1.0-qt6-dbgsym                      debug symbols for gstreamer1.0-qt6
gstreamer1.0-rockchip1-dbgsym                debug symbols for gstreamer1.0-rockchip1
gstreamer1.0-tools-dbgsym                    debug symbols for gstreamer1.0-tools
gstreamer1.0-wpe-dbgsym                      debug symbols for gstreamer1.0-wpe
gtk2-engines                                 theme engines for GTK+ 2.x
gvfs                                         userspace virtual filesystem - GIO module
gzip                                         GNU compression utilities
haveged                                      Linux entropy source using the HAVEGE algorithm
hdparm                                       tune hard disk parameters for high performance
hostapd                                      access point and authentication server for Wi-Fi and Ethernet
hostname                                     utility to set/show the host name or domain name
hplip                                        HP Linux Printing and Imaging System (HPLIP)
htop                                         interactive processes viewer
hunspell-en-us                               English_american dictionary for hunspell
i2c-tools                                    heterogeneous set of I2C tools for Linux
ifenslave                                    configure network interfaces for parallel routing (bonding)
im-config                                    Input method configuration framework
init                                         metapackage ensuring an init system is installed
inputattach                                  utility to connect serial-attached peripherals to the input subsystem
iotop                                        simple top-like I/O monitor
iozone3                                      Filesystem and Disk Benchmarking Tool
iputils-arping                               Tool to send ICMP echo requests to an ARP address
iputils-ping                                 Tools to test the reachability of network hosts
ir-keytable-dbgsym                           debug symbols for ir-keytable
isc-dhcp-client                              DHCP client for automatically obtaining an IP address
iw                                           tool for configuring Linux wireless devices
jq                                           lightweight and flexible command-line JSON processor
kbd                                          Linux console font and keytable utilities
keyutils                                     Linux Key Management Utilities
less                                         pager program similar to more
libatk-adaptor                               AT-SPI 2 toolkit bridge
libattr1                                     extended attribute handling - shared library
libcheese-doc                                tool to take pictures and videos from your webcam - documentation
libcheese-gtk-dev                            tool to take pictures and videos from your webcam - widgets dev
libcheese-gtk25-dbgsym                       debug symbols for libcheese-gtk25
libcheese8-dbgsym                            debug symbols for libcheese8
libdigest-sha-perl                           Perl extension for SHA-1/224/256/384/512, SHA-512/224 and SHA-512/256
libdrm-amdgpu1-dbgsym                        debug symbols for libdrm-amdgpu1
libdrm-cursor-dbgsym                         debug symbols for libdrm-cursor
libdrm-cursor-dev                            A hook of drm cursor APIs to fake cursor plane.
libdrm-etnaviv1-dbgsym                       debug symbols for libdrm-etnaviv1
libdrm-freedreno1-dbgsym                     debug symbols for libdrm-freedreno1
libdrm-nouveau2-dbgsym                       debug symbols for libdrm-nouveau2
libdrm-radeon1-dbgsym                        debug symbols for libdrm-radeon1
libdrm-tegra0-dbgsym                         debug symbols for libdrm-tegra0
libdrm2-dbgsym                               debug symbols for libdrm2
libdvbv5-0-dbgsym                            debug symbols for libdvbv5-0
libdvbv5-dev                                 Development files for libdvbv5
libdvbv5-doc                                 Doxygen generated documentation for libdvbv5
libfont-afm-perl                             Perl interface to Adobe Font Metrics files
libfuse2                                     Filesystem in Userspace (library)
libgail-common                               GNOME Accessibility Implementation Library -- common modules
libgsettings-qt1                             library to access GSettings from Qt (shared libraries)
libgstreamer-gl1.0-0-dbgsym                  debug symbols for libgstreamer-gl1.0-0
libgstreamer-opencv1.0-0-dbgsym              debug symbols for libgstreamer-opencv1.0-0
libgstreamer-plugins-bad1.0-0-dbgsym         debug symbols for libgstreamer-plugins-bad1.0-0
libgstreamer-plugins-base1.0-0-dbgsym        debug symbols for libgstreamer-plugins-base1.0-0
libgstreamer1.0-0-dbgsym                     debug symbols for libgstreamer1.0-0
libgstreamer1.0-dev-dbgsym                   debug symbols for libgstreamer1.0-dev
libgtk2.0-bin                                programs for the GTK graphical user interface library
libmali-valhall-g610-g13p0-x11-gbm           Mali GPU User-Space Binary Drivers
libmpv-dev                                   video player based on MPlayer/mplayer2 (client library dev files)
libnl-genl-3-dev                             development library and headers for libnl-genl-3
libnss-myhostname                            nss module providing fallback resolution for the current hostname
libpam-gnome-keyring                         PAM module to unlock the GNOME keyring upon login
libpam-modules-bin                           Pluggable Authentication Modules for PAM - helper binaries
libpam-systemd                               system and service manager - PAM module
libproc-processtable-perl                    Perl library for accessing process table information
libproxy1-plugin-gsettings                   automatic proxy configuration management library (GSettings plugin)
libproxy1-plugin-networkmanager              automatic proxy configuration management library (Network Manager plugin)
libreoffice-writer                           office productivity suite -- word processor
librga-dev                                   Userspace interface to Rockchip RGA 2D accelerator
librga2-dbgsym                               debug symbols for librga2
librockchip-mpp-dev                          Media Process Platform
librockchip-mpp1-dbgsym                      debug symbols for librockchip-mpp1
librockchip-vpu0-dbgsym                      debug symbols for librockchip-vpu0
libss2                                       command-line interface parsing library
libssl-dev                                   Secure Sockets Layer toolkit - development files
